@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute destClass {2,1}

@data
17,74,15,19,75,59,32,30,60,32,61,33,19,33,62,31,61,31,59,73,16,75,17,77,19,31,19,32,62,30,15,76,18,73,17,33,1.0
16,75,14,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,15,76,16,78,18,28,18,29,65,27,14,77,17,74,16,30,1.0
15,76,13,17,77,59,32,29,60,31,61,33,17,33,63,31,61,30,59,75,14,77,15,79,17,31,17,32,62,29,13,78,16,75,15,33,2.0
16,76,14,17,77,61,30,28,62,30,63,31,17,31,64,29,63,29,61,75,15,77,15,78,17,29,17,30,64,28,14,78,16,75,15,31,1.0
16,76,14,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,15,77,15,78,17,28,17,29,65,27,14,78,16,75,15,30,2.0
17,75,15,18,76,61,30,28,62,30,63,31,18,31,64,29,63,29,61,74,16,76,16,77,18,29,18,30,64,28,15,77,17,74,16,31,1.0
15,76,13,17,77,58,33,30,59,32,60,34,17,34,62,32,60,31,58,75,14,77,15,79,17,32,17,33,61,30,13,78,16,75,15,34,2.0
17,74,15,19,75,59,32,29,60,31,61,33,19,33,63,31,61,30,59,73,16,75,17,77,19,31,19,32,62,29,15,76,18,73,17,33,1.0
15,76,13,17,77,63,28,26,64,28,65,29,17,29,66,27,65,27,63,75,14,77,15,79,17,27,17,28,66,26,13,78,16,75,15,29,2.0
16,76,14,17,77,59,30,26,61,30,62,31,17,31,64,28,63,28,59,75,15,77,15,78,17,28,17,30,64,26,14,78,16,75,15,31,1.0
16,76,14,17,77,59,31,28,60,31,61,32,17,32,63,29,62,29,58,75,15,77,15,78,17,29,17,31,63,28,14,78,16,75,15,32,2.0
17,75,15,18,76,60,33,32,60,32,61,34,18,34,62,33,60,32,60,74,16,76,16,77,18,33,18,33,61,32,15,77,17,74,16,34,1.0
17,74,15,19,75,58,33,31,59,33,60,34,19,34,61,32,60,32,58,73,16,75,17,77,19,32,19,33,61,31,15,76,18,73,17,34,1.0
16,75,14,18,76,59,32,29,60,31,61,33,18,33,63,31,61,30,59,74,15,76,16,78,18,31,18,32,62,29,14,77,17,74,16,33,1.0
15,76,13,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,14,77,15,79,17,28,17,29,65,27,13,78,16,75,15,30,2.0
16,76,14,17,77,60,31,28,61,30,62,32,17,32,64,30,62,29,60,75,15,77,15,78,17,30,17,31,63,28,14,78,16,75,15,32,1.0
15,76,13,17,77,57,34,31,58,33,59,35,17,35,61,33,59,32,57,75,14,77,15,79,17,33,17,34,60,31,13,78,16,75,15,35,2.0
16,76,14,17,77,60,31,29,61,31,62,32,17,32,63,30,62,30,60,75,15,77,15,78,17,30,17,31,63,29,14,78,16,75,15,32,2.0
16,76,14,17,77,59,33,30,59,32,60,34,17,34,62,32,60,31,59,75,15,77,15,78,17,32,17,33,61,31,14,78,16,75,15,34,1.0
16,75,14,18,76,58,33,31,59,33,60,34,18,34,61,32,60,32,58,74,15,76,16,78,18,32,18,33,61,31,14,77,17,74,16,34,1.0
16,75,14,18,76,57,34,32,58,34,59,35,18,35,60,33,59,33,57,74,15,76,16,78,18,33,18,34,60,32,14,77,17,74,16,35,2.0
15,77,13,15,78,56,34,30,57,34,57,34,15,35,60,32,59,32,56,76,14,78,14,79,16,33,15,35,59,31,13,79,15,76,14,35,2.0
15,76,13,17,77,58,33,30,59,32,60,34,17,34,62,32,60,31,58,75,14,77,15,79,17,32,17,33,61,30,13,78,16,75,15,34,1.0
16,76,14,17,77,61,30,28,62,30,63,31,17,31,64,29,63,29,61,75,15,77,15,78,17,29,17,30,64,28,14,78,16,75,15,31,2.0
16,76,14,17,77,63,28,26,64,28,65,29,17,29,66,27,65,27,63,75,15,77,15,78,17,27,17,28,66,26,14,78,16,75,15,29,1.0
15,76,13,17,77,59,32,29,60,31,61,33,17,33,63,31,61,30,59,75,14,77,15,79,17,31,17,32,62,29,13,78,16,75,15,33,2.0
17,75,15,18,76,60,32,29,60,31,61,33,18,33,63,31,61,30,60,74,16,76,16,77,18,31,18,32,62,30,15,77,17,74,16,33,1.0
16,76,14,17,77,60,29,25,62,29,63,30,17,30,65,27,64,27,60,75,15,77,15,78,17,27,17,29,65,25,14,78,16,75,15,30,1.0
16,76,14,17,77,61,29,26,62,29,63,30,17,30,65,27,64,27,60,75,15,77,15,78,17,27,17,29,65,26,14,78,16,75,15,30,2.0
17,74,15,19,75,57,35,32,57,34,58,36,19,36,60,34,58,33,57,73,16,75,17,77,19,34,19,35,59,33,15,76,18,73,17,36,1.0
16,75,14,18,76,59,34,33,59,33,60,35,18,35,61,34,59,33,59,74,15,76,16,78,18,34,18,34,60,33,14,77,17,74,16,35,1.0
15,77,13,16,78,63,27,24,64,27,65,28,16,28,67,25,66,25,62,76,14,78,14,79,16,25,16,27,67,24,13,79,15,76,14,28,2.0
16,75,14,18,76,61,30,28,62,30,63,31,18,31,64,29,63,29,61,74,15,76,16,78,18,29,18,30,64,28,14,77,17,74,16,31,1.0
17,74,15,19,75,58,33,31,59,33,60,34,19,34,61,32,60,32,58,73,16,75,17,77,19,32,19,33,61,31,15,76,18,73,17,34,1.0
17,75,15,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,16,76,16,77,18,28,18,29,65,27,15,77,17,74,16,30,1.0
15,76,13,17,77,60,31,29,61,31,62,32,17,32,63,30,62,30,60,75,14,77,15,79,17,30,17,31,63,29,13,78,16,75,15,32,2.0
17,74,15,19,75,62,29,27,63,29,64,30,19,30,65,28,64,28,62,73,16,75,17,77,19,28,19,29,65,27,15,76,18,73,17,30,1.0
15,76,13,17,77,58,33,30,59,32,60,34,17,34,62,32,60,31,58,75,14,77,15,79,17,32,17,33,61,30,13,78,16,75,15,34,2.0
16,75,14,18,76,57,34,32,58,34,59,35,18,35,60,33,59,33,57,74,15,76,16,78,18,33,18,34,60,32,14,77,17,74,16,35,2.0
16,75,14,18,76,60,31,28,61,30,62,32,18,32,64,30,62,29,60,74,15,76,16,78,18,30,18,31,63,28,14,77,17,74,16,32,1.0
15,76,13,17,77,59,32,29,60,31,61,33,17,33,63,31,61,30,59,75,14,77,15,79,17,31,17,32,62,29,13,78,16,75,15,33,2.0
16,75,14,18,76,56,36,33,56,35,57,37,18,37,59,35,57,34,56,74,15,76,16,78,18,35,18,36,58,34,14,77,17,74,16,37,1.0
16,75,14,18,76,63,28,26,64,28,65,29,18,29,66,27,65,27,63,74,15,76,16,78,18,27,18,28,66,26,14,77,17,74,16,29,1.0
16,75,14,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,15,76,16,78,18,30,18,31,63,29,14,77,17,74,16,32,1.0
17,74,15,19,75,64,27,25,65,27,66,28,19,28,67,26,66,26,64,73,16,75,17,77,19,26,19,27,67,25,15,76,18,73,17,28,1.0
16,76,14,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,15,77,15,78,17,28,17,29,65,27,14,78,16,75,15,30,1.0
14,77,12,16,78,61,30,28,62,30,63,31,16,31,64,29,63,29,61,76,13,78,14,80,16,29,16,30,64,28,12,79,15,76,14,31,2.0
16,75,14,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,15,76,16,78,18,30,18,31,63,29,14,77,17,74,16,32,1.0
17,74,15,19,75,62,29,27,63,29,64,30,19,30,65,28,64,28,62,73,16,75,17,77,19,28,19,29,65,27,15,76,18,73,17,30,1.0
17,74,15,19,75,61,30,28,62,30,63,31,19,31,64,29,63,29,61,73,16,75,17,77,19,29,19,30,64,28,15,76,18,73,17,31,1.0
15,76,13,17,77,63,28,26,64,28,65,29,17,29,66,27,65,27,63,75,14,77,15,79,17,27,17,28,66,26,13,78,16,75,15,29,2.0
15,77,13,15,78,61,28,25,63,29,63,28,15,29,65,26,65,27,61,76,14,78,14,79,16,27,15,29,65,25,13,79,15,76,14,29,2.0
16,75,14,18,76,61,29,26,62,29,63,30,18,30,65,27,64,27,60,74,15,76,16,78,18,27,18,29,65,26,14,77,17,74,16,30,1.0
17,75,15,18,76,59,31,28,60,31,61,32,18,32,63,29,62,29,58,74,16,76,16,77,18,29,18,31,63,28,15,77,17,74,16,32,1.0
16,76,14,17,77,59,30,26,61,30,62,31,17,31,64,28,63,28,59,75,15,77,15,78,17,28,17,30,64,26,14,78,16,75,15,31,2.0
15,77,13,16,78,61,30,28,62,30,63,31,16,31,64,29,63,29,61,76,14,78,14,79,16,29,16,30,64,28,13,79,15,76,14,31,2.0
17,74,15,19,75,61,30,28,62,30,63,31,19,31,64,29,63,29,61,73,16,75,17,77,19,29,19,30,64,28,15,76,18,73,17,31,1.0
16,76,14,17,77,61,30,28,62,30,63,31,17,31,64,29,63,29,61,75,15,77,15,78,17,29,17,30,64,28,14,78,16,75,15,31,1.0
16,76,14,16,77,57,32,28,59,32,59,32,16,33,62,30,61,30,57,75,15,77,15,78,17,31,16,33,61,28,14,78,16,75,15,33,2.0
16,75,14,18,76,58,33,30,59,32,60,34,18,34,62,32,60,31,58,74,15,76,16,78,18,32,18,33,61,30,14,77,17,74,16,34,1.0
15,77,13,16,78,61,29,26,62,29,63,30,16,30,65,27,64,27,60,76,14,78,14,79,16,27,16,29,65,26,13,79,15,76,14,30,2.0
17,75,15,18,76,59,31,28,60,31,61,32,18,32,63,29,62,29,58,74,16,76,16,77,18,29,18,31,63,28,15,77,17,74,16,32,1.0
16,76,14,17,77,59,33,30,59,32,60,34,17,34,62,32,60,31,59,75,15,77,15,78,17,32,17,33,61,31,14,78,16,75,15,34,2.0
17,74,15,19,75,59,32,30,60,32,61,33,19,33,62,31,61,31,59,73,16,75,17,77,19,31,19,32,62,30,15,76,18,73,17,33,1.0
16,75,14,18,76,57,34,31,58,33,59,35,18,35,61,33,59,32,57,74,15,76,16,78,18,33,18,34,60,31,14,77,17,74,16,35,2.0
16,76,14,17,77,57,32,28,59,32,60,33,17,33,62,30,61,30,57,75,15,77,15,78,17,30,17,32,62,28,14,78,16,75,15,33,2.0
15,77,13,16,78,54,35,31,56,35,57,36,16,36,59,33,58,33,54,76,14,78,14,79,16,33,16,35,59,31,13,79,15,76,14,36,2.0
14,77,12,16,78,58,33,30,59,32,60,34,16,34,62,32,60,31,58,76,13,78,14,80,16,32,16,33,61,30,12,79,15,76,14,34,2.0
16,75,14,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,15,76,16,78,18,30,18,31,63,29,14,77,17,74,16,32,1.0
15,77,13,15,78,50,39,35,52,39,53,39,16,40,55,37,54,37,50,76,14,78,14,79,16,37,15,39,55,35,13,79,15,76,14,40,2.0
15,77,13,15,78,58,32,29,59,32,59,33,15,33,62,31,61,30,57,76,14,78,14,79,16,31,16,33,61,29,13,79,15,76,14,33,2.0
15,77,13,16,78,60,31,29,61,31,62,32,16,32,63,30,62,30,60,76,14,78,14,79,16,30,16,31,63,29,13,79,15,76,14,32,2.0
17,74,15,19,75,60,31,29,61,31,62,32,19,32,63,30,62,30,60,73,16,75,17,77,19,30,19,31,63,29,15,76,18,73,17,32,1.0
26,64,22,28,65,56,37,36,56,36,57,38,28,38,58,37,56,36,56,62,24,66,25,68,28,37,28,37,57,36,22,67,27,62,25,38,2.0
16,76,14,17,77,59,32,29,60,31,61,33,17,33,63,31,61,30,59,75,15,77,15,78,17,31,17,32,62,29,14,78,16,75,15,33,1.0
15,77,13,16,78,59,31,28,60,31,61,32,16,32,63,29,62,29,58,76,14,78,14,79,16,29,16,31,63,28,13,79,15,76,14,32,2.0
16,75,14,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,15,76,16,78,18,28,18,29,65,27,14,77,17,74,16,30,1.0
16,75,14,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,15,76,16,78,18,30,18,31,63,29,14,77,17,74,16,32,1.0
17,74,15,19,75,62,29,27,63,29,64,30,19,30,65,28,64,28,62,73,16,75,17,77,19,28,19,29,65,27,15,76,18,73,17,30,1.0
17,75,15,18,76,64,27,25,65,27,66,28,18,28,67,26,66,26,64,74,16,76,16,77,18,26,18,27,67,25,15,77,17,74,16,28,1.0
15,76,13,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,14,77,15,79,17,28,17,29,65,27,13,78,16,75,15,30,1.0
15,77,13,16,78,63,27,24,64,27,65,28,16,28,67,25,66,25,62,76,14,78,14,79,16,25,16,27,67,24,13,79,15,76,14,28,2.0
16,75,14,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,15,76,16,78,18,28,18,29,65,27,14,77,17,74,16,30,1.0
16,75,14,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,15,76,16,78,18,30,18,31,63,29,14,77,17,74,16,32,1.0
15,76,13,17,77,57,36,35,57,35,58,37,17,37,59,36,57,35,57,75,14,77,15,79,17,36,17,36,58,35,13,78,16,75,15,37,2.0
15,76,13,17,77,58,33,30,59,32,60,34,17,34,62,32,60,31,58,75,14,77,15,79,17,32,17,33,61,30,13,78,16,75,15,34,2.0
17,75,15,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,16,76,16,77,18,30,18,31,63,29,15,77,17,74,16,32,1.0
17,75,15,17,76,51,38,34,53,38,54,38,18,39,56,36,55,36,51,74,16,76,16,77,18,36,17,38,56,34,15,77,17,74,16,39,2.0
17,75,15,18,76,60,32,29,60,31,61,33,18,33,63,31,61,30,60,74,16,76,16,77,18,31,18,32,62,30,15,77,17,74,16,33,1.0
16,75,14,18,76,63,28,26,64,28,65,29,18,29,66,27,65,27,63,74,15,76,16,78,18,27,18,28,66,26,14,77,17,74,16,29,1.0
15,77,13,15,78,59,33,32,59,33,59,34,15,34,61,33,60,32,58,76,14,78,14,79,16,33,16,34,60,32,13,79,15,76,14,34,2.0
17,75,15,18,76,55,34,29,57,33,58,35,18,35,61,32,59,31,55,74,16,76,16,77,18,32,18,34,60,29,15,77,17,74,16,35,2.0
16,76,14,17,77,59,34,33,59,33,60,35,17,35,61,34,59,33,59,75,15,77,15,78,17,34,17,34,60,33,14,78,16,75,15,35,1.0
16,76,14,17,77,59,33,30,59,32,60,34,17,34,62,32,60,31,59,75,15,77,15,78,17,32,17,33,61,31,14,78,16,75,15,34,2.0
16,76,14,16,77,57,34,32,58,34,58,34,16,35,60,33,59,33,57,75,15,77,15,78,17,34,16,35,59,32,14,78,16,75,15,35,2.0
17,75,15,18,76,55,34,29,56,34,57,35,18,35,60,31,59,31,54,74,16,76,16,77,18,31,18,34,60,30,15,77,17,74,16,35,2.0
16,75,14,18,76,59,32,30,60,32,61,33,18,33,62,31,61,31,59,74,15,76,16,78,18,31,18,32,62,30,14,77,17,74,16,33,1.0
16,75,14,18,76,63,28,26,64,28,65,29,18,29,66,27,65,27,63,74,15,76,16,78,18,27,18,28,66,26,14,77,17,74,16,29,1.0
16,76,14,17,77,63,28,26,64,28,65,29,17,29,66,27,65,27,63,75,15,77,15,78,17,27,17,28,66,26,14,78,16,75,15,29,1.0
16,75,14,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,15,76,16,78,18,30,18,31,63,29,14,77,17,74,16,32,1.0
16,76,14,17,77,59,32,30,60,32,61,33,17,33,62,31,61,31,59,75,15,77,15,78,17,31,17,32,62,30,14,78,16,75,15,33,2.0
17,75,15,18,76,60,30,27,61,30,62,31,18,31,64,28,63,28,59,74,16,76,16,77,18,28,18,30,64,27,15,77,17,74,16,31,1.0
15,76,13,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,14,77,15,79,17,28,17,29,65,27,13,78,16,75,15,30,2.0
15,77,13,16,78,61,30,28,62,30,63,31,16,31,64,29,63,29,61,76,14,78,14,79,16,29,16,30,64,28,13,79,15,76,14,31,2.0
15,76,13,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,14,77,15,79,17,28,17,29,65,27,13,78,16,75,15,30,2.0
16,76,14,17,77,60,31,29,61,31,62,32,17,32,63,30,62,30,60,75,15,77,15,78,17,30,17,31,63,29,14,78,16,75,15,32,2.0
15,77,13,16,78,64,27,25,65,27,66,28,16,28,67,26,66,26,64,76,14,78,14,79,16,26,16,27,67,25,13,79,15,76,14,28,2.0
16,75,14,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,15,76,16,78,18,28,18,29,65,27,14,77,17,74,16,30,1.0
15,77,13,16,78,55,34,30,57,34,58,35,16,35,60,32,59,32,55,76,14,78,14,79,16,32,16,34,60,30,13,79,15,76,14,35,2.0
16,75,14,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,15,76,16,78,18,30,18,31,63,29,14,77,17,74,16,32,1.0
16,75,14,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,15,76,16,78,18,28,18,29,65,27,14,77,17,74,16,30,1.0
15,77,13,16,78,63,28,26,64,28,65,29,16,29,66,27,65,27,63,76,14,78,14,79,16,27,16,28,66,26,13,79,15,76,14,29,2.0
17,74,15,19,75,59,33,30,59,32,60,34,19,34,62,32,60,31,59,73,16,75,17,77,19,32,19,33,61,31,15,76,18,73,17,34,1.0
17,75,15,18,76,60,33,32,60,32,61,34,18,34,62,33,60,32,60,74,16,76,16,77,18,33,18,33,61,32,15,77,17,74,16,34,1.0
17,75,15,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,16,76,16,77,18,30,18,31,63,29,15,77,17,74,16,32,1.0
16,76,14,17,77,60,29,25,62,29,63,30,17,30,65,27,64,27,60,75,15,77,15,78,17,27,17,29,65,25,14,78,16,75,15,30,1.0
17,75,15,17,76,57,33,29,58,33,58,33,17,34,61,31,60,31,57,74,16,76,16,77,18,32,17,34,60,30,15,77,17,74,16,34,2.0
14,77,12,16,78,57,34,31,58,33,59,35,16,35,61,33,59,32,57,76,13,78,14,80,16,33,16,34,60,31,12,79,15,76,14,35,2.0
15,76,13,17,77,60,31,29,61,31,62,32,17,32,63,30,62,30,60,75,14,77,15,79,17,30,17,31,63,29,13,78,16,75,15,32,1.0
17,75,15,17,76,48,41,38,50,42,50,41,17,42,52,39,52,40,48,74,16,76,16,77,18,40,17,42,52,38,15,77,17,74,16,42,2.0
15,76,13,17,77,53,38,35,54,37,55,39,17,39,57,37,55,36,53,75,14,77,15,79,17,37,17,38,56,35,13,78,16,75,15,39,2.0
16,75,14,18,76,59,34,33,59,33,60,35,18,35,61,34,59,33,59,74,15,76,16,78,18,34,18,34,60,33,14,77,17,74,16,35,1.0
17,74,15,19,75,57,34,32,58,34,59,35,19,35,60,33,59,33,57,73,16,75,17,77,19,33,19,34,60,32,15,76,18,73,17,35,2.0
18,73,14,17,74,49,40,36,51,40,52,39,19,41,54,38,53,38,49,71,16,75,16,76,19,38,17,40,54,36,14,76,18,71,16,41,2.0
16,75,14,18,76,59,32,29,60,31,61,33,18,33,63,31,61,30,59,74,15,76,16,78,18,31,18,32,62,29,14,77,17,74,16,33,1.0
17,74,13,16,75,53,36,32,55,36,56,35,18,37,58,34,57,34,53,72,15,76,15,77,18,34,16,36,58,32,13,77,17,72,15,37,2.0
16,76,14,17,77,59,32,29,60,31,61,33,17,33,63,31,61,30,59,75,15,77,15,78,17,31,17,32,62,29,14,78,16,75,15,33,1.0
17,74,15,19,75,58,33,30,59,32,60,34,19,34,62,32,60,31,58,73,16,75,17,77,19,32,19,33,61,30,15,76,18,73,17,34,1.0
15,77,13,16,78,61,30,28,62,30,63,31,16,31,64,29,63,29,61,76,14,78,14,79,16,29,16,30,64,28,13,79,15,76,14,31,2.0
15,76,13,17,77,55,38,37,55,37,56,39,17,39,57,38,55,37,55,75,14,77,15,79,17,38,17,38,56,37,13,78,16,75,15,39,2.0
15,77,13,15,78,61,28,25,63,29,63,28,15,29,65,26,65,27,61,76,14,78,14,79,16,27,15,29,65,25,13,79,15,76,14,29,2.0
16,75,14,18,76,59,32,30,60,32,61,33,18,33,62,31,61,31,59,74,15,76,16,78,18,31,18,32,62,30,14,77,17,74,16,33,1.0
16,76,14,16,77,62,27,24,64,28,64,27,16,28,66,25,66,26,62,75,15,77,15,78,17,26,16,28,66,24,14,78,16,75,15,28,2.0
15,76,13,17,77,63,28,26,64,28,65,29,17,29,66,27,65,27,63,75,14,77,15,79,17,27,17,28,66,26,13,78,16,75,15,29,2.0
14,77,12,16,78,62,29,27,63,29,64,30,16,30,65,28,64,28,62,76,13,78,14,80,16,28,16,29,65,27,12,79,15,76,14,30,2.0
17,75,15,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,16,76,16,77,18,30,18,31,63,29,15,77,17,74,16,32,1.0
16,75,14,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,15,76,16,78,18,28,18,29,65,27,14,77,17,74,16,30,1.0
16,75,14,18,76,58,33,30,59,32,60,34,18,34,62,32,60,31,58,74,15,76,16,78,18,32,18,33,61,30,14,77,17,74,16,34,1.0
17,75,15,18,76,58,31,27,60,31,61,32,18,32,63,29,62,29,58,74,16,76,16,77,18,29,18,31,63,27,15,77,17,74,16,32,1.0
16,76,14,17,77,53,36,32,55,36,56,37,17,37,58,34,57,34,53,75,15,77,15,78,17,34,17,36,58,32,14,78,16,75,15,37,2.0
17,75,15,18,76,57,32,28,59,32,60,33,18,33,62,30,61,30,57,74,16,76,16,77,18,30,18,32,62,28,15,77,17,74,16,33,1.0
15,77,13,16,78,58,31,27,60,31,61,32,16,32,63,29,62,29,58,76,14,78,14,79,16,29,16,31,63,27,13,79,15,76,14,32,1.0
16,75,14,18,76,63,28,26,64,28,65,29,18,29,66,27,65,27,63,74,15,76,16,78,18,27,18,28,66,26,14,77,17,74,16,29,1.0
15,76,13,17,77,59,32,29,60,31,61,33,17,33,63,31,61,30,59,75,14,77,15,79,17,31,17,32,62,29,13,78,16,75,15,33,2.0
17,75,15,18,76,60,33,32,60,32,61,34,18,34,62,33,60,32,60,74,16,76,16,77,18,33,18,33,61,32,15,77,17,74,16,34,1.0
15,77,13,16,78,60,31,29,61,31,62,32,16,32,63,30,62,30,60,76,14,78,14,79,16,30,16,31,63,29,13,79,15,76,14,32,2.0
15,76,13,17,77,57,36,35,57,35,58,37,17,37,59,36,57,35,57,75,14,77,15,79,17,36,17,36,58,35,13,78,16,75,15,37,2.0
21,70,17,20,71,50,39,35,52,39,53,38,22,40,55,37,54,37,50,68,19,72,19,73,22,37,20,39,55,35,17,73,21,68,19,40,2.0
16,75,14,18,76,61,30,28,62,30,63,31,18,31,64,29,63,29,61,74,15,76,16,78,18,29,18,30,64,28,14,77,17,74,16,31,1.0
17,75,15,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,16,76,16,77,18,30,18,31,63,29,15,77,17,74,16,32,1.0
17,74,15,19,75,57,34,31,58,33,59,35,19,35,61,33,59,32,57,73,16,75,17,77,19,33,19,34,60,31,15,76,18,73,17,35,1.0
16,76,14,17,77,61,29,26,62,29,63,30,17,30,65,27,64,27,60,75,15,77,15,78,17,27,17,29,65,26,14,78,16,75,15,30,1.0
17,75,15,18,76,60,31,28,61,30,62,32,18,32,64,30,62,29,60,74,16,76,16,77,18,30,18,31,63,28,15,77,17,74,16,32,1.0
17,74,15,19,75,58,33,31,59,33,60,34,19,34,61,32,60,32,58,73,16,75,17,77,19,32,19,33,61,31,15,76,18,73,17,34,1.0
16,76,14,17,77,59,32,29,60,31,61,33,17,33,63,31,61,30,59,75,15,77,15,78,17,31,17,32,62,29,14,78,16,75,15,33,1.0
16,75,14,18,76,59,32,30,60,32,61,33,18,33,62,31,61,31,59,74,15,76,16,78,18,31,18,32,62,30,14,77,17,74,16,33,1.0
15,76,13,17,77,58,33,30,59,32,60,34,17,34,62,32,60,31,58,75,14,77,15,79,17,32,17,33,61,30,13,78,16,75,15,34,1.0
16,75,13,15,76,52,36,30,54,36,55,35,17,37,58,33,57,33,52,73,14,77,14,78,17,33,15,36,58,31,13,78,16,74,14,37,2.0
17,74,15,19,75,59,32,30,60,32,61,33,19,33,62,31,61,31,59,73,16,75,17,77,19,31,19,32,62,30,15,76,18,73,17,33,1.0
15,76,13,17,77,56,35,32,57,34,58,36,17,36,60,34,58,33,56,75,14,77,15,79,17,34,17,35,59,32,13,78,16,75,15,36,2.0
16,75,14,18,76,58,33,31,59,33,60,34,18,34,61,32,60,32,58,74,15,76,16,78,18,32,18,33,61,31,14,77,17,74,16,34,2.0
16,76,14,16,77,57,33,29,58,33,58,33,16,34,61,31,60,31,57,75,15,77,15,78,17,32,16,34,60,30,14,78,16,75,15,34,2.0
15,76,13,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,14,77,15,79,17,28,17,29,65,27,13,78,16,75,15,30,2.0
17,75,15,18,76,60,31,29,61,31,62,32,18,32,63,30,62,30,60,74,16,76,16,77,18,30,18,31,63,29,15,77,17,74,16,32,1.0
16,76,14,17,77,60,31,29,61,31,62,32,17,32,63,30,62,30,60,75,15,77,15,78,17,30,17,31,63,29,14,78,16,75,15,32,2.0
15,76,13,17,77,61,30,28,62,30,63,31,17,31,64,29,63,29,61,75,14,77,15,79,17,29,17,30,64,28,13,78,16,75,15,31,2.0
15,76,13,17,77,62,29,27,63,29,64,30,17,30,65,28,64,28,62,75,14,77,15,79,17,28,17,29,65,27,13,78,16,75,15,30,2.0
16,76,14,17,77,63,28,26,64,28,65,29,17,29,66,27,65,27,63,75,15,77,15,78,17,27,17,28,66,26,14,78,16,75,15,29,1.0
16,75,14,18,76,63,28,26,64,28,65,29,18,29,66,27,65,27,63,74,15,76,16,78,18,27,18,28,66,26,14,77,17,74,16,29,1.0
16,75,14,18,76,62,29,27,63,29,64,30,18,30,65,28,64,28,62,74,15,76,16,78,18,28,18,29,65,27,14,77,17,74,16,30,2.0
16,75,14,18,76,56,35,32,57,34,58,36,18,36,60,34,58,33,56,74,15,76,16,78,18,34,18,35,59,32,14,77,17,74,16,36,2.0
15,77,13,16,78,63,28,26,64,28,65,29,16,29,66,27,65,27,63,76,14,78,14,79,16,27,16,28,66,26,13,79,15,76,14,29,2.0
17,75,15,18,76,60,32,29,60,31,61,33,18,33,63,31,61,30,60,74,16,76,16,77,18,31,18,32,62,30,15,77,17,74,16,33,1.0
16,75,14,18,76,63,28,26,64,28,65,29,18,29,66,27,65,27,63,74,15,76,16,78,18,27,18,28,66,26,14,77,17,74,16,29,1.0
16,76,14,17,77,63,28,26,64,28,65,29,17,29,66,27,65,27,63,75,15,77,15,78,17,27,17,28,66,26,14,78,16,75,15,29,1.0
16,75,14,18,76,63,28,26,64,28,65,29,18,29,66,27,65,27,63,74,15,76,16,78,18,27,18,28,66,26,14,77,17,74,16,29,1.0
16,75,14,18,76,58,34,31,58,33,59,35,18,35,61,33,59,32,58,74,15,76,16,78,18,33,18,34,60,32,14,77,17,74,16,35,2.0
